#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
181.01 51.13 31.8 5.21 -5.19 -0.013 3.61 3.26 -2.21 23 181.01 51.13 C202006190259A R
181.03 51.03 34.9 6.62 -6.57 -0.04 4.75 3.34 -2.67 23 181.03 51.03 C202006190308A R
25.6 34.17 13.7 3.55 -3.82 0.27 1.66 1.11 2.01 23 25.6 34.17 C202006190743A R-SS
181.15 -17.5 553.0 -0.391 3.39 -3 2.22 -1.07 -0.213 24 181.15 -17.5 B202006191007A SS-R
181.83 -33.38 16.4 3.91 -0.132 -3.77 0.956 4.36 -1.21 23 181.83 -33.38 C202006191710A R
142.65 12.46 121.2 -1.46 1.77 -0.317 -0.859 -0.38 -0.392 23 142.65 12.46 C202006192148A N-SS
187.45 -16.07 19.9 1.18 -0.037 -1.14 0.387 0.855 -0.22 24 187.45 -16.07 C202006200157A R
123.5 23.44 30.9 1.87 -1.58 -0.29 0.723 0.207 -0.858 23 123.5 23.44 C202006200305A R
187.46 -15.89 22.8 3.16 -1.19 -1.97 1.45 1.2 -1.43 23 187.46 -15.89 C202006200444A R
182.37 -33.53 21.0 -2.45 0.506 1.94 0.367 -0.154 0.418 23 182.37 -33.53 C202006201051A N
144.76 17.51 12.4 -3.92 0.02 3.9 0.118 0.393 0.627 23 144.76 17.51 C202006201157A N
253.97 18.08 17.1 -0.767 -0.376 1.14 0.215 1.36 -3.24 23 253.97 18.08 C202006201159A SS-N
341.48 66.29 12.0 -0.178 -0.592 0.77 0.464 -0.268 -1.56 24 341.48 66.29 C202006201505A SS
164.6 -10.73 12.0 2.46 0.182 -2.64 0.938 -4.69 7.64 23 164.6 -10.73 C202006201536A SS-R
156.07 -9.53 12.0 -0.858 0.435 0.422 -0.212 0.14 0.656 24 156.07 -9.53 C202006201545A N
253.95 18.06 24.8 -0.278 -0.825 1.1 0.075 1.07 -2.24 23 253.95 18.06 C202006201813A SS-N
341.46 66.26 12.0 -0.526 -1.68 2.2 0.773 -0.904 -4.77 24 341.46 66.26 C202006201926A SS
334.31 -60.04 37.8 2.39 2.5 -4.89 -2.04 1.08 -1.44 23 334.31 -60.04 C202006202304A SS-R
182.16 -33.61 20.6 -2.81 0.786 2.03 0.635 0.43 0.755 23 182.16 -33.61 C202006202328A N
