#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
266.43 14.57 28.1 -1.81 1.41 0.393 -1.09 -0.281 -0.694 23 266.43 14.57 C202005230856A N
290.19 -33.56 130.1 -3.68 0.179 3.5 4.81 -4.29 5.6 23 290.19 -33.56 C202005231310A SS-N
25.52 34.19 16.5 0.672 -0.935 0.263 0.35 0.007 0.596 24 25.52 34.19 C202005232250A R-SS
66.69 -14.95 12.0 -1.83 0.92 0.909 -0.163 0.551 -0.89 24 66.69 -14.95 C202005232302A N
66.78 -15.13 14.5 -2.11 0.995 1.11 -1.6 0.017 -0.824 23 66.78 -15.13 C202005232345A N-SS
66.72 -14.91 12.0 -3.52 1.56 1.96 0.411 1.22 -1.63 23 66.72 -14.91 C202005240028A N
347.97 -47.48 17.0 -0.98 4.1 -3.12 0.928 -2.34 -6.29 24 347.97 -47.48 C202005240252A SS
265.99 14.56 12.0 1.08 -0.599 -0.485 1 -1.29 0.462 24 265.99 14.56 C202005240352A R
50.58 30.31 25.0 3.15 -0.516 -2.63 5.33 -2.84 2.25 23 50.58 30.31 C202005240911A R
140.04 31.56 118.8 -3.42 -0.747 4.17 -1.23 -5.47 -5.05 23 140.04 31.56 C202005240936A N-SS
126.71 6.48 88.3 -2.31 -0.66 2.97 0.321 -0.412 -0.055 23 126.71 6.48 C202005241454A N
343.56 0.12 19.5 -2.42 0.411 2.01 1.37 -0.71 -0.424 23 343.56 0.12 C202005241550A N
174.98 -40.52 25.8 -0.469 1.14 -0.671 3.49 3.89 0.079 24 174.98 -40.52 C202005241953A N
262.77 -36.34 15.2 -0.314 -0.383 0.697 0.374 -0.993 -1.69 23 262.77 -36.34 C202005242110A SS-R
330.99 -55.27 22.6 0.532 -2.65 2.12 -0.892 1.54 2.48 23 330.99 -55.27 C202005242325A SS-R
172.53 -20.55 14.4 -3.39 2.09 1.3 -1.08 0.45 2.99 23 172.53 -20.55 C202005250006A N-SS
93.92 24.41 38.2 0.375 -4.33 3.96 0.498 -3.19 5.83 23 93.92 24.41 C202005251442A SS-R
172.52 -20.52 22.0 -2.04 1.2 0.838 -0.442 0.291 1.79 23 172.52 -20.52 C202005252048A N
144.08 12.42 12.2 -4.21 0.91 3.3 -3.25 1.76 -8.61 23 144.08 12.42 C202005252322A SS-N
175.06 -40.43 47.8 -3.42 2.85 0.565 2.14 0.24 0.799 23 175.06 -40.43 C202005260034A N
171.09 -22.79 18.2 -1.92 -1.15 3.06 -1.94 0.808 0.715 23 171.09 -22.79 C202005260346A N-SS
153.61 46.51 14.4 1.33 -0.483 -0.843 0.173 0.678 -0.827 24 153.61 46.51 C202005260518A R
147.1 14.05 16.1 2.76 -0.025 -2.73 0.916 2.42 -0.077 23 147.1 14.05 C202005260525A R
141.5 34.07 14.0 3.22 -0.811 -2.41 1.88 2.52 -1.5 23 141.5 34.07 C202005260557A R
153.66 46.39 21.3 2.26 -0.51 -1.75 0.022 1.2 -1.07 23 153.66 46.39 C202005260624A R
172.57 -20.55 19.2 -2.06 1.66 0.395 -0.679 0.571 0.912 23 172.57 -20.55 C202005261243A N
167.71 -17.08 12.0 2.21 -0.032 -2.18 0.353 -0.176 -0.971 24 167.71 -17.08 C202005262252A R
167.79 -17.07 14.5 1.2 0.064 -1.27 0.011 0.563 -1.81 23 167.79 -17.07 C202005262312A SS-R
25.61 34.11 17.8 4.72 -5.15 0.432 3.21 0.018 0.764 23 25.61 34.11 C202005270109A R
243.85 -24.62 12.0 -0.431 -1.12 1.55 0.045 0.003 0.525 24 243.85 -24.62 C202005270233A SS
167.67 -17.28 12.0 2.89 0.355 -3.25 0.31 -0.704 0.341 25 167.67 -17.28 C202005270709A R
167.79 -17.12 17.9 1.06 0.077 -1.14 -0.068 0.258 -0.525 24 167.79 -17.12 C202005270805A R
315.15 12.78 19.6 -1.72 -0.05 1.77 0.455 0.048 0.308 23 315.15 12.78 C202005271945A N
69.49 -23.76 12.0 3.28 1.4 -4.67 1.25 -0.586 -2.29 23 69.49 -23.76 C202005272109A R-SS
147.32 -6.27 89.8 -1.4 1.86 -0.457 2.26 0.99 -3.14 23 147.32 -6.27 C202005272306A SS-N
120.19 16.71 87.0 -1.53 5.87 -4.33 -1.59 2.78 3.02 23 120.19 16.71 C202005280517A SS-N
185.93 -22.33 12.0 -0.911 0.389 0.522 0.1 0.375 0.527 25 185.93 -22.33 C202005280718A N
184.63 -27.32 12.0 -6.43 -0.69 7.12 0.036 1.18 0.75 24 184.63 -27.32 C202005280946A N
142.82 -4.1 48.5 3.66 -3.2 -0.461 -1.18 2.08 1.76 23 142.82 -4.1 C202005281220A R
143.27 43.1 117.7 -0.097 -0.543 0.64 -0.483 -1.48 0.116 23 143.27 43.1 C202005282342A N
316.34 28.52 12.0 -3.53 0.422 3.1 -1.39 0.126 0.73 23 316.34 28.52 C202005282347A N
180.76 -21.65 609.9 0.039 0.111 -0.15 -0.331 -1.07 0.394 24 180.76 -21.65 B202005290623A R
268.36 13.51 27.6 -0.11 1.78 -1.67 -0.157 -2.69 2.13 23 268.36 13.51 C202005291004A SS-N
137.62 36.34 12.0 0.85 -1.26 0.41 -0.775 -1.41 -5.56 23 137.62 36.34 C202005291005A SS
167.51 -17.36 13.8 -0.492 0.223 0.269 -0.747 0.328 -0.662 24 167.51 -17.36 C202005291107A N
167.46 -17.32 13.3 1.01 -1.4 0.391 -3.48 1.59 -3.66 23 167.46 -17.32 C202005291613A SS-R
291.04 -27.56 122.6 1.79 0.43 -2.22 -1.39 -0.516 2.68 23 291.04 -27.56 C202005291632A SS-R
181.52 -32.26 53.1 5.32 -0.589 -4.74 -0.14 2.32 -1.53 23 181.52 -32.26 C202005292014A R
152.35 -6.2 12.0 -5.44 5.23 0.215 -1.97 0.151 0.824 23 152.35 -6.2 C202005300306A N
315.03 25.93 12.0 -2.78 0.151 2.63 0.027 -0.14 0.733 24 315.03 25.93 C202005300321A N
315.05 25.97 12.0 -1.23 0.104 1.12 -0.01 0.019 0.219 24 315.05 25.97 C202005300329A N
315.05 25.86 12.0 -2.73 0.064 2.66 -1.14 -0.803 0.667 23 315.05 25.86 C202005300346A N
315.01 25.98 12.0 -7.02 0.85 6.17 0.581 1.91 1.17 23 315.01 25.98 C202005300351A N
280.32 -1.29 98.6 0.585 1.98 -2.57 -0.954 0.267 0.717 23 280.32 -1.29 C202005301240A SS-R
126.66 4.05 41.0 2.84 -0.008 -2.84 0.726 1.61 -1.02 24 126.66 4.05 C202005301306A R
143.65 42.59 98.8 -0.694 0.94 -0.246 2.91 0.4 0.01 24 143.65 42.59 C202005301813A N
320.96 8.25 18.5 -0.139 -0.076 0.215 0.034 0.224 -0.964 24 320.96 8.25 C202005310032A SS
289.16 -15.41 188.8 -0.87 0.885 -0.015 1.48 -1.4 -0.739 25 289.16 -15.41 C202005310509A N
168.23 -15.51 21.0 2.94 -0.317 -2.62 0.447 1.03 -0.179 23 168.23 -15.51 C202005311111A R
171.5 -63.43 15.0 -0.353 3.13 -2.78 -1.82 -2.28 -0.877 23 171.5 -63.43 C202005311954A SS-N
167.74 -17.21 29.2 4.56 -1.12 -3.45 0.031 0.446 0.058 23 167.74 -17.21 C202005312050B R
140.28 36.14 110.4 -0.553 -0.191 0.745 0.489 0.772 0.141 24 140.28 36.14 C202005312102A N
183.55 -23.98 137.5 1.42 -3.33 1.91 0.592 6 -0.161 24 183.55 -23.98 C202005312325A R
