#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
277.36 4.33 10.0 -0.322 0.145 0.177 0 0 3.418 24 277.36 4.33 B022877A SS
127.01 8.87 55.8 2.75 -1.458 -1.292 0.444 -0.274 0.678 24 127.01 8.87 B022877B R
55.37 15.16 10.0 -0.8274 0.871 -0.0436 0.0683 0.2284 -0.497 24 55.37 15.16 B022877C N
177.64 -16.48 10.0 0.528 -0.099 -0.429 -1.162 1.906 3.293 24 177.64 -16.48 B030277A SS-N
123.53 6.62 33.4 3.195 -3.57 0.375 0.728 -1.526 2.261 25 123.53 6.62 B030277B R-SS
26.17 45.23 83.6 1.784 -1.05 -0.733 -0.944 -0.595 -0.607 27 26.17 45.23 C030477A R
123.62 -8.62 30.9 -0.852 -1.624 2.476 -1.413 -0.601 -2.932 24 123.62 -8.62 B030677A SS-N
181.22 -17.83 574.4 -0.341 1.638 -1.297 1.992 -1.207 0.691 24 181.22 -17.83 B030877A N-SS
156.39 -8.65 10.0 -0.939 2.763 -1.824 2.136 0.894 6.767 24 156.39 -8.65 B030877B SS
285.81 -12.51 41.0 0.927 0.018 -0.945 -1.32 0.447 2.127 24 285.81 -12.51 B030877C SS-R
100.04 0.5 19.5 -0.31 -1.662 1.972 0.14 0.304 -0.162 25 100.04 0.5 B030877D SS
131.55 41.48 578.6 1.141 -0.098 -1.043 -0.509 -2.207 -0.985 26 131.55 41.48 B030977A R
126.72 3.07 20.1 1.311 -1.12 -0.191 -1.484 -1.537 -0.427 24 126.72 3.07 B030977B R
314.72 23.59 10.0 -0.232 -2.789 3.022 0 0 -6.374 24 314.72 23.59 B031277A SS
285.48 -7.95 153.0 3.366 -1.151 -2.215 0.54 -9.206 -2.526 24 285.48 -7.95 B031377A R
181.2 -20.74 579.0 -2.732 3.392 -0.66 -1.166 -3.62 -1.396 24 181.2 -20.74 B031477A N-SS
179.78 -31.65 352.4 -0.638 -0.487 1.125 -0.36 -0.238 0.107 24 179.78 -31.65 B031477B N-SS
130.94 -5 69.4 0.16 -0.935 0.775 0.484 -0.407 -1.883 25 130.94 -5.0 B031577A SS
154.71 -7.08 38.8 0.9639 -0.3907 -0.5732 0.4519 -0.5012 0.5554 25 154.71 -7.08 B031577B R
168.97 -12.92 649.0 -1.767 -5.225 6.992 4.72 1.783 1.013 23 168.97 -12.92 B031777A SS-N
122.59 16.38 35.0 7.191 -1.073 -6.118 -0.079 5.605 -1.798 26 122.59 16.38 C031877A R
148.66 43.71 53.4 3.681 0.011 -3.692 0.532 0.472 -0.787 24 148.66 43.71 B031977A R
122.63 16.82 31.7 1.274 0.167 -1.442 -0.192 1.063 0.203 25 122.63 16.82 B031977B R
145.81 12.91 10.0 0.878 -0.211 -0.667 -0.295 1.042 -0.542 24 145.81 12.91 B032177B R-SS
146 13 10.0 3.851 -0.407 -3.444 -0.94 2.002 -2.278 24 146.0 13.0 B032177C R-SS
56.44 27.47 18.8 1.121 -1.099 -0.021 0.817 0.221 -0.139 26 56.44 27.47 C032177A R
56.96 27.63 19.3 1.254 -1.307 0.053 1.118 0.25 -0.6 25 56.96 27.63 B032177D R
178.81 -33.89 281.7 0.129 0.082 -0.21 -0.278 1.047 -0.137 25 178.81 -33.89 B032277A R
56.13 27.23 10.0 8.588 -8.889 0.301 -0.44 -0.681 -3.601 24 56.13 27.23 B032277B R
286.82 7.17 157.7 0.916 0.763 -1.679 1.378 -0.653 1.432 24 286.82 7.17 B032377A SS-R
182.08 -15.21 10.0 0.284 -0.452 0.169 0.221 0.481 1.478 24 182.08 -15.21 B032377B SS
181.97 -14.8 10.0 0.7 -0.142 -0.558 0 0 2.811 25 181.97 -14.8 B032377C SS
182.01 -14.84 10.0 0.45 -0.141 -0.309 0 0 1.721 25 182.01 -14.84 B032377D SS
56.44 27.25 10.0 2.353 -2.09 -0.262 0.299 0.113 -0.36 24 56.44 27.25 B032377E R
39.82 37.58 21.0 0.245 -8.763 8.518 -1.134 1.764 2.984 23 39.82 37.58 B032577A SS
191.82 52.4 28.7 1.178 -0.989 -0.189 1.143 0.264 -0.789 25 191.82 52.4 B032677A R
185.85 -18.53 105.2 0.865 0.12 -0.985 0.345 2.219 1.328 24 185.85 -18.53 B032677B R-SS
346.78 -0.72 10.0 -0.804 2.819 -2.016 -1.012 0.017 -4.64 24 346.78 -0.72 B032677C SS
166.75 -15.16 111.9 0.515 -0.746 0.232 -0.826 -0.174 1.212 25 166.75 -15.16 B032877A SS-R
139.27 31.66 21.0 2.01 -1.738 -0.272 0.454 -0.155 0.06 24 139.27 31.66 B033077A R
123.63 -48.51 10.0 -0.8662 0.6649 0.2013 -0.817 0.4962 -0.8667 24 123.63 -48.51 B040177A N
56.4 27.37 10.0 8.887 -9.969 1.082 0.411 0.071 -1.653 24 56.4 27.37 B040177B R
188.09 -16.77 50.3 0.6916 0.25 -0.9416 -0.2384 -0.4337 0.3471 27 188.09 -16.77 C040277A R-SS
266.88 16.56 209.7 1.128 -1.258 0.13 -0.064 -1.28 -1.555 24 266.88 16.56 B040277B R-SS
